年,年,凭证号,分录号,摘要,科目编码,科目名称,辅助项,币种, 借方 ,贷方
01,18,记账-0060,1,张培培报销费用,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币," 6,142.00 ",
01,18,记账-0062,1,张文出差北京,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：民航项目公摊】,人民币," 2,021.85 ",
01,18,记账-0067,1,汤志燕出差无锡,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 295.34 ,
01,18,记账-0069,1,俞春荣报销餐费-民机改医疗机,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：民用飞机改医疗飞机】,人民币," 2,177.00 ",
01,18,记账-0069,2,俞春荣报销火车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：民用飞机改医疗飞机】,人民币, 561.93 ,
01,18,记账-0069,4,俞春荣报销费用-大运模拟器,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：大运模拟器】,人民币," 1,500.00 ",
01,18,记账-0075,1,廖鹏远报销费用,660111,660111\销售费用\业务招待费,【部门档案：培训事业中心】【软件项目辅助核算：民航项目公摊】,人民币, 59.00 ,
01,18,记账-0097,1,张培培报销火车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币," 3,351.00 ",
01,18,记账-0097,2,张培培报销火车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币, 685.85 ,
01,18,记账-0101,1,李志慧出差上海,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：民航项目公摊】,人民币, 799.91 ,
01,18,记账-0104,1,汤志燕出差汉中,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 2,167.29 ",
01,18,记账-0105,1,郝琳出差汉中,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 3,691.33 ",
01,18,记账-0105,5,郝琳出差汉中,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 2,708.95 ",
01,18,记账-0106,1,张文出差呼和浩特,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：售前及产品调研】,人民币," 2,417.50 ",
01,18,记账-0107,1,汤军出差北京-lj体系贡献率,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：lj体系贡献率评估】,人民币," 1,076.65 ",
01,18,记账-0130,1,汤志燕出差郑州-电子监测仪,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币, 473.04 ,
01,18,记账-0131,1,郝琳报销费用,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：无锡一所仿真实验室建设】,人民币," 6,460.00 ",
01,31,记账-0154,1,董梁报销打车费-拜访客户,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：民航项目公摊】,人民币, 54.26 ,
01,31,记账-0157,1,汤军报销住宿费-lj体系贡献,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：lj体系贡献率评估】,人民币, 335.85 ,
01,31,记账-0186,1,郝琳报销餐费-南炮训练中心,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：南炮训练中心建设】,人民币, 429.44 ,
01,31,记账-0186,2,郝琳报销餐费-南炮训练中心,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：海工大训练仿真】,人民币," 1,575.00 ",
01,31,记账-0186,3,郝琳报销餐费-南炮训练中心,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：计算机辅助教学系统】,人民币," 2,380.00 ",
01,31,记账-0186,4,郝琳报销餐费-南炮训练中心,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：航天二院体系评估】,人民币," 1,200.00 ",
01,31,记账-0187,1,郝琳出差西安-32基地数据分析,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：32基地数据分析】,人民币," 1,718.89 ",
01,31,记账-0187,5,郝琳报销餐费-空工大体系评估,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：空工大体系评估】,人民币," 1,020.00 ",
01,31,记账-0187,6,郝琳报销餐费-28所数据分析,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：28所数据分析】,人民币," 1,300.37 ",
01,31,记账-0188,1,郝琳报销餐费-32基地数据分析,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：32基地数据分析】,人民币, 919.00 ,
01,31,记账-0188,2,郝琳报销餐费-无锡一所仿真实验室建设,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：无锡一所仿真实验室建设】,人民币," 2,300.00 ",
01,31,记账-0188,3,郝琳报销餐费-无锡一所仿真实验室建设,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：三维伪装场景仿真建模】,人民币," 1,380.00 ",
01,31,记账-0188,5,郝琳报销餐费-南炮训练中心,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：南炮训练中心建设】,人民币," 1,056.00 ",
01,31,记账-0227,3,计提折旧,660106,660106\销售费用\折旧,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 293.07 ,
01,31,记账-0227,9,计提折旧,660106,660106\销售费用\折旧,【部门档案：培训事业中心】【软件项目辅助核算：民航项目公摊】,人民币, 166.04 ,
01,31,记账-0229,30,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：战场伪装规划与辅助决策系统】,人民币, 351.00 ,
01,31,记账-0229,31,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：风电场VR虚拟沙盘】,人民币," 4,239.83 ",
01,31,记账-0229,32,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：SBT培训】,人民币," 2,457.00 ",
01,31,记账-0229,33,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：空降兵特种作战增强现实头盔】,人民币," 1,053.00 ",
01,31,记账-0229,34,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：民用飞机改医疗飞机】,人民币," 2,457.00 ",
01,31,记账-0229,35,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：装甲模拟训练器】,人民币," 2,457.00 ",
01,31,记账-0229,36,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：仿真理论教学系统（SBT）】,人民币," 2,457.00 ",
01,31,记账-0229,37,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：装备培训管理一体化平台】,人民币," 19,552.13 ",
01,31,记账-0229,38,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：陆军特战学院无人侦察机模拟训练项目】,人民币," 5,778.00 ",
01,31,记账-0229,39,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：SBT虚拟仿真训练系统】,人民币," 4,212.00 ",
01,31,记账-0229,40,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：交互式电子手册IETM】,人民币," 4,563.00 ",
01,31,记账-0229,41,计提1月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：障碍物智能评估系统】,人民币," 15,501.30 ",
01,31,记账-0229,79,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币," 7,556.14 ",
01,31,记账-0229,80,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：战场伪装规划与辅助决策系统】,人民币, 96.60 ,
01,31,记账-0229,81,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：SBT培训】,人民币," 2,769.00 ",
01,31,记账-0229,82,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：交互式使用维护操作支持模块】,人民币," 5,141.05 ",
01,31,记账-0229,83,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：计算机辅助教学系统】,人民币, 230.75 ,
01,31,记账-0229,84,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：05A模拟器】,人民币," 2,817.30 ",
01,31,记账-0229,85,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：lj体系贡献率评估】,人民币," 5,631.21 ",
01,31,记账-0229,86,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：面向体系论证评估的机器学习应用关键技术研究】,人民币, 923.00 ,
01,31,记账-0229,87,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：空降兵特种作战增强现实头盔】,人民币," 1,445.75 ",
01,31,记账-0229,88,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：民用飞机改医疗飞机】,人民币," 1,577.71 ",
01,31,记账-0229,89,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币," 17,859.56 ",
01,31,记账-0229,90,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：Y8C模拟器训练器】,人民币," 2,307.50 ",
01,31,记账-0229,91,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：3号飞行模拟器】,人民币," 2,355.80 ",
01,31,记账-0229,92,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：12号飞行模拟器】,人民币," 2,355.80 ",
01,31,记账-0229,93,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：16号飞行模拟器】,人民币," 2,355.80 ",
01,31,记账-0229,94,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：18号飞行模拟器】,人民币," 2,355.80 ",
01,31,记账-0229,95,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：仿真理论教学系统（SBT）】,人民币, 923.00 ,
01,31,记账-0229,96,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：运七全任务模拟器】,人民币," 2,307.50 ",
01,31,记账-0229,97,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：大运模拟器】,人民币," 2,307.50 ",
01,31,记账-0229,98,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：内蒙国防教育基地】,人民币," 1,846.00 ",
01,31,记账-0229,99,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：陆工大装备数据分析】,人民币, 509.80 ,
01,31,记账-0229,100,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：602所体系评估】,人民币, 165.53 ,
01,31,记账-0229,101,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：装技所体系评估】,人民币, 496.58 ,
01,31,记账-0229,102,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：陆工大体系评估】,人民币, 331.05 ,
01,31,记账-0229,103,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：装工院体系评估】,人民币, 662.10 ,
01,31,记账-0229,104,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：无锡一所体系评估】,人民币," 3,277.91 ",
01,31,记账-0229,105,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：无锡一所仿真实验室建设】,人民币," 2,062.91 ",
01,31,记账-0229,106,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：182体系评估】,人民币," 1,626.71 ",
01,31,记账-0229,107,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：贵飞体系评估】,人民币," 1,433.50 ",
01,31,记账-0229,108,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：28所数据分析】,人民币," 1,992.00 ",
01,31,记账-0229,109,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：航天二院体系评估】,人民币, 243.00 ,
01,31,记账-0229,110,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：空工大体系评估】,人民币, 704.50 ,
01,31,记账-0229,111,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：HJJ体系评估】,人民币, 243.00 ,
01,31,记账-0229,112,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：航天五院体系评估】,人民币, 243.00 ,
01,31,记账-0229,113,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：32基地数据分析】,人民币," 3,325.12 ",
01,31,记账-0229,114,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：南炮训练中心建设】,人民币," 2,961.02 ",
01,31,记账-0229,115,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：JJ9飞行训练模拟器】,人民币, 922.60 ,
01,31,记账-0229,116,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：J9改飞行训练模拟器】,人民币, 922.60 ,
01,31,记账-0229,117,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：海工大训练仿真】,人民币, 583.00 ,
01,31,记账-0229,118,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：310所体系评估】,人民币," 1,935.00 ",
01,31,记账-0229,119,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：706所体系评估】,人民币," 1,032.00 ",
01,31,记账-0229,120,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：航天七院体系评估】,人民币, 645.00 ,
01,31,记账-0229,121,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：723所体系评估】,人民币," 3,225.00 ",
01,31,记账-0229,122,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：14所体系评估】,人民币," 1,548.00 ",
01,31,记账-0229,123,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：三维伪装场景仿真建模】,人民币," 1,159.24 ",
01,31,记账-0229,124,计提1月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 6,794.43 ",
01,31,记账-0232,20,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币, 441.17 ,
01,31,记账-0232,21,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：战场伪装规划与辅助决策系统】,人民币, 9.19 ,
01,31,记账-0232,22,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：SBT培训】,人民币, 55.15 ,
01,31,记账-0232,23,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：交互式使用维护操作支持模块】,人民币, 211.39 ,
01,31,记账-0232,24,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：计算机辅助教学系统】,人民币, 4.60 ,
01,31,记账-0232,25,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：05A模拟器】,人民币, 59.74 ,
01,31,记账-0232,26,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：lj体系贡献率评估】,人民币, 358.45 ,
01,31,记账-0232,27,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：面向体系论证评估的机器学习应用关键技术研究】,人民币, 18.38 ,
01,31,记账-0232,28,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：空降兵特种作战增强现实头盔】,人民币, 96.51 ,
01,31,记账-0232,29,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：民用飞机改医疗飞机】,人民币, 45.96 ,
01,31,记账-0232,30,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币, 900.72 ,
01,31,记账-0232,31,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：Y8C模拟器训练器】,人民币, 45.96 ,
01,31,记账-0232,32,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：3号飞行模拟器】,人民币, 50.55 ,
01,31,记账-0232,33,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：12号飞行模拟器】,人民币, 50.55 ,
01,31,记账-0232,34,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：16号飞行模拟器】,人民币, 50.55 ,
01,31,记账-0232,35,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：18号飞行模拟器】,人民币, 50.55 ,
01,31,记账-0232,36,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：仿真理论教学系统（SBT）】,人民币, 18.38 ,
01,31,记账-0232,37,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：运七全任务模拟器】,人民币, 45.96 ,
01,31,记账-0232,38,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：大运模拟器】,人民币, 45.96 ,
01,31,记账-0232,39,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：内蒙国防教育基地】,人民币, 36.76 ,
01,31,记账-0232,40,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：陆工大装备数据分析】,人民币, 13.79 ,
01,31,记账-0232,41,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：602所体系评估】,人民币, 9.19 ,
01,31,记账-0232,42,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：装技所体系评估】,人民币, 27.57 ,
01,31,记账-0232,43,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：陆工大体系评估】,人民币, 18.38 ,
01,31,记账-0232,44,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：装工院体系评估】,人民币, 36.76 ,
01,31,记账-0232,45,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：无锡一所体系评估】,人民币, 229.78 ,
01,31,记账-0232,46,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：无锡一所仿真实验室建设】,人民币, 137.87 ,
01,31,记账-0232,47,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：182体系评估】,人民币, 101.10 ,
01,31,记账-0232,48,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：贵飞体系评估】,人民币, 82.72 ,
01,31,记账-0232,49,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：28所数据分析】,人民币, 73.53 ,
01,31,记账-0232,50,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：航天二院体系评估】,人民币, 18.38 ,
01,31,记账-0232,51,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：空工大体系评估】,人民币, 27.57 ,
01,31,记账-0232,52,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：HJJ体系评估】,人民币, 18.38 ,
01,31,记账-0232,53,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：航天五院体系评估】,人民币, 18.38 ,
01,31,记账-0232,54,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：32基地数据分析】,人民币, 211.39 ,
01,31,记账-0232,55,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：南炮训练中心建设】,人民币, 156.25 ,
01,31,记账-0232,56,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：JJ9飞行训练模拟器】,人民币, 45.96 ,
01,31,记账-0232,57,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：J9改飞行训练模拟器】,人民币, 45.96 ,
01,31,记账-0232,58,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：海工大训练仿真】,人民币, 18.38 ,
01,31,记账-0232,59,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：310所体系评估】,人民币, 137.87 ,
01,31,记账-0232,60,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：706所体系评估】,人民币, 73.53 ,
01,31,记账-0232,61,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：航天七院体系评估】,人民币, 45.96 ,
01,31,记账-0232,62,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：723所体系评估】,人民币, 229.78 ,
01,31,记账-0232,63,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：14所体系评估】,人民币, 110.29 ,
01,31,记账-0232,64,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：三维伪装场景仿真建模】,人民币, 110.29 ,
01,31,记账-0232,65,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 979.11 ,
01,31,记账-0232,105,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：装甲模拟训练器】,人民币, 61.50 ,
01,31,记账-0232,106,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：仿真理论教学系统（SBT）】,人民币, 123.00 ,
01,31,记账-0232,107,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：空降兵特种作战增强现实头盔】,人民币, 61.50 ,
01,31,记账-0232,108,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：民用飞机改医疗飞机】,人民币, 61.50 ,
01,31,记账-0232,109,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：风电场VR训练平台】,人民币, 314.88 ,
01,31,记账-0232,110,计提1月份社保,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：SBT培训】,人民币, 184.50 ,
